ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,SalesAmount
381,10/1/2020,10/2/2020,10/3/2020,16942,SO46700,1000.4375
375,10/1/2020,10/2/2020,10/3/2020,15114,SO46701,2181.5625
369,10/1/2020,10/2/2020,10/3/2020,15116,SO46702,2443.35
337,10/1/2020,10/2/2020,10/3/2020,20576,SO46703,782.99
370,10/1/2020,10/2/2020,10/3/2020,13059,SO46704,2443.35
370,10/1/2020,10/2/2020,10/3/2020,13085,SO46705,2443.35
352,10/1/2020,10/2/2020,10/3/2020,20186,SO46706,2071.4196
337,10/1/2020,10/2/2020,10/3/2020,15199,SO46707,782.99
377,1/1/2020,1/1/2020,1/1/2020,21200,SO46708,2181.5625
387,1/2/2020,1/2/2020,1/2/2020,19172,SO46709,1000.4375
356,1/3/2020,1/3/2020,1/3/2020,11484,SO46710,2071.4196
369,1/4/2020,1/4/2020,1/4/2020,13592,SO46711,2443.35
373,1/5/2020,1/5/2020,1/5/2020,13779,SO46712,2181.5625
371,1/6/2020,1/6/2020,1/6/2020,24778,SO46713,2181.5625
368,1/7/2020,1/7/2020,1/7/2020,13093,SO46714,2443.35
375,1/8/2020,1/8/2020,1/8/2020,24976,SO46715,2181.5625
375,1/9/2020,1/9/2020,1/9/2020,25046,SO46716,2181.5625
368,1/10/2020,1/10/2020,1/10/2020,25048,SO46717,2443.35
360,1/11/2020,1/11/2020,1/11/2020,12570,SO46718,2049.0982
362,1/12/2020,1/12/2020,1/12/2020,11604,SO46719,2049.0982
371,1/13/2020,1/13/2020,1/13/2020,13667,SO46720,2181.5625
370,1/14/2020,1/14/2020,1/14/2020,16046,SO46721,2443.35
385,1/15/2020,1/15/2020,1/15/2020,17095,SO46722,1000.4375
368,1/16/2020,1/16/2020,1/16/2020,12918,SO46723,2443.35
368,1/17/2020,1/17/2020,1/17/2020,28663,SO46724,2443.35
369,1/18/2020,1/18/2020,1/18/2020,21191,SO46725,2443.35
373,1/19/2020,1/19/2020,1/19/2020,20999,SO46726,2181.5625
370,1/20/2020,1/20/2020,1/20/2020,21002,SO46727,2443.35
358,1/21/2020,1/21/2020,1/21/2020,12354,SO46728,2049.0982
321,1/22/2020,1/22/2020,1/22/2020,26019,SO46729,782.99
379,1/23/2020,1/23/2020,1/23/2020,15100,SO46730,2181.5625
371,1/24/2020,1/24/2020,1/24/2020,15101,SO46731,2181.5625
385,1/25/2020,1/25/2020,1/25/2020,13992,SO46732,1000.4375
375,1/26/2020,1/26/2020,1/26/2020,24781,SO46733,2181.5625
